request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_154,1625.8,not_affordable,not_recommended,none,2024-12-04,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 1300.00 IDR.
request_155,112500.0,affordable_now,full_payment,2025-05-06:112500,2025-05-06,none,The requested payment of 112500.00 IDR is fully safe to pay immediately since the projected daily balance stays safely above the required minimum balance of 56300.00 IDR throughout the 90-day forecast.
request_156,9491.11,affordable_later,wait,2026-06-15:43076,2026-06-15,none,Paying the full requested amount of 43076.00 IDR today is not safe. It is highly recommended to wait until 2026-06-15 when incoming cash flows restore the balance safely above the required minimum of 26900.00 IDR.
request_157,5174319.79,affordable_later,wait,2024-03-15:23503000,2024-03-15,none,Paying the full requested amount of 23503000.00 IDR today is not safe. It is highly recommended to wait until 2024-03-15 when incoming cash flows restore the balance safely above the required minimum of 15714100.00 IDR.
request_158,242600.0,not_affordable,not_recommended,none,2025-08-07,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 131400.00 IDR.
request_159,13398.0,affordable_now,full_payment,2026-01-04:13398,2026-01-04,none,The requested payment of 13398.00 IDR is fully safe to pay immediately since the projected daily balance stays safely above the required minimum balance of 8700.00 IDR throughout the 90-day forecast.
request_160,569.52,not_affordable,not_recommended,none,2024-06-15,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 1200.00 IDR.
request_161,0.0,not_affordable,not_recommended,none,,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 23010400.00 IDR.
request_162,1255032.12,not_affordable,not_recommended,none,,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 24161100.00 IDR.
request_163,12590192.75,not_affordable,not_recommended,none,2024-09-15,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 26728700.00 IDR.
request_164,27018000.0,not_affordable,not_recommended,none,2025-02-04,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 29550500.00 IDR.
request_165,80600.0,affordable_now,full_payment,2026-04-06:80600,2026-04-06,none,The requested payment of 80600.00 IDR is fully safe to pay immediately since the projected daily balance stays safely above the required minimum balance of 95000.00 IDR throughout the 90-day forecast.
request_166,2907.6,not_affordable,not_recommended,none,2024-12-03,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 1700.00 IDR.
request_167,43802.0,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,The requested payment of 43802.00 IDR is fully safe to pay immediately since the projected daily balance stays safely above the required minimum balance of 31200.00 IDR throughout the 90-day forecast.
request_168,30444.51,not_affordable,not_recommended,none,2026-02-15,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 114400.00 IDR.
request_169,0.0,not_affordable,not_recommended,none,,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 18700.00 IDR.
request_170,33116632.97,not_affordable,not_recommended,none,2025-08-15,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 24715800.00 IDR.
request_171,33.02,not_affordable,not_recommended,none,,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 500.00 IDR.
request_172,10200.0,not_affordable,not_recommended,none,2024-06-05,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 27200.00 IDR.
request_173,0.0,not_affordable,not_recommended,none,,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 79100.00 IDR.
request_174,1146.2,not_affordable,not_recommended,none,2026-04-04,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 700.00 IDR.
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.30,2024-09-06,none,The requested payment of 2346.30 IDR is fully safe to pay immediately since the projected daily balance stays safely above the required minimum balance of 1700.00 IDR throughout the 90-day forecast.
request_176,367.0,not_affordable,not_recommended,none,,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 600.00 IDR.
request_177,1017.6,affordable_now,full_payment,2026-01-05:1017.60,2026-01-05,none,The requested payment of 1017.60 IDR is fully safe to pay immediately since the projected daily balance stays safely above the required minimum balance of 1300.00 IDR throughout the 90-day forecast.
request_178,2938.1,not_affordable,not_recommended,none,2024-12-07,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 1400.00 IDR.
request_179,24089983.34,affordable_later,wait,2025-06-15:41648000,2025-06-15,none,Paying the full requested amount of 41648000.00 IDR today is not safe. It is highly recommended to wait until 2025-06-15 when incoming cash flows restore the balance safely above the required minimum of 41430800.00 IDR.
request_180,66500.0,affordable_now,full_payment,2026-07-06:66500,2026-07-06,none,The requested payment of 66500.00 IDR is fully safe to pay immediately since the projected daily balance stays safely above the required minimum balance of 37300.00 IDR throughout the 90-day forecast.
request_181,535.38,not_affordable,not_recommended,none,,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 2000.00 IDR.
request_182,65714.0,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,The requested payment of 65714.00 IDR is fully safe to pay immediately since the projected daily balance stays safely above the required minimum balance of 31100.00 IDR throughout the 90-day forecast.
request_183,0.0,not_affordable,not_recommended,none,,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 11878300.00 IDR.
request_184,0.0,not_affordable,not_recommended,none,,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 110800.00 IDR.
request_185,405.1,affordable_later,wait,2026-01-15:1257.30,2026-01-15,none,Paying the full requested amount of 1257.30 IDR today is not safe. It is highly recommended to wait until 2026-01-15 when incoming cash flows restore the balance safely above the required minimum of 1300.00 IDR.
request_186,14267.62,affordable_later,wait,2026-02-15:26554,2026-02-15,none,Paying the full requested amount of 26554.00 IDR today is not safe. It is highly recommended to wait until 2026-02-15 when incoming cash flows restore the balance safely above the required minimum of 22000.00 IDR.
request_187,37844.36,affordable_later,wait,2024-09-15:187500,2024-09-15,none,Paying the full requested amount of 187500.00 IDR today is not safe. It is highly recommended to wait until 2024-09-15 when incoming cash flows restore the balance safely above the required minimum of 128300.00 IDR.
request_188,182.94,not_affordable,not_recommended,none,,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 900.00 IDR.
request_189,488.4,affordable_now,full_payment,2026-07-04:488.40,2026-07-04,none,The requested payment of 488.40 IDR is fully safe to pay immediately since the projected daily balance stays safely above the required minimum balance of 400.00 IDR throughout the 90-day forecast.
request_190,622.2,affordable_later,wait,2025-02-15:2557.50,2025-02-15,none,Paying the full requested amount of 2557.50 IDR today is not safe. It is highly recommended to wait until 2025-02-15 when incoming cash flows restore the balance safely above the required minimum of 1600.00 IDR.
request_191,664.4,affordable_now,full_payment,2025-05-03:664.40,2025-05-03,none,The requested payment of 664.40 IDR is fully safe to pay immediately since the projected daily balance stays safely above the required minimum balance of 500.00 IDR throughout the 90-day forecast.
request_192,239.4,not_affordable,not_recommended,none,,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 1000.00 IDR.
request_193,65.84,not_affordable,not_recommended,none,2024-03-15,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 1000.00 IDR.
request_194,39008.33,affordable_later,wait,2025-10-15:132800,2025-10-15,none,Paying the full requested amount of 132800.00 IDR today is not safe. It is highly recommended to wait until 2025-10-15 when incoming cash flows restore the balance safely above the required minimum of 113600.00 IDR.
request_195,965.95,not_affordable,not_recommended,none,2026-02-15,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 700.00 IDR.
request_196,762.3,affordable_now,full_payment,2024-06-03:762.30,2024-06-03,none,The requested payment of 762.30 IDR is fully safe to pay immediately since the projected daily balance stays safely above the required minimum balance of 500.00 IDR throughout the 90-day forecast.
request_197,1885505.11,not_affordable,not_recommended,none,,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 26245900.00 IDR.
request_198,185800.0,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,The requested payment of 185800.00 IDR is fully safe to pay immediately since the projected daily balance stays safely above the required minimum balance of 124300.00 IDR throughout the 90-day forecast.
request_199,23674000.0,not_affordable,not_recommended,none,2024-09-04,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 25359500.00 IDR.
request_200,21717000.0,affordable_now,full_payment,2025-02-06:21717000,2025-02-06,none,The requested payment of 21717000.00 IDR is fully safe to pay immediately since the projected daily balance stays safely above the required minimum balance of 20114600.00 IDR throughout the 90-day forecast.
request_201,23997000.0,affordable_now,full_payment,2026-04-03:23997000,2026-04-03,none,The requested payment of 23997000.00 IDR is fully safe to pay immediately since the projected daily balance stays safely above the required minimum balance of 17304500.00 IDR throughout the 90-day forecast.
request_202,123900.0,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,The requested payment of 123900.00 IDR is fully safe to pay immediately since the projected daily balance stays safely above the required minimum balance of 147800.00 IDR throughout the 90-day forecast.
request_203,1442.1,not_affordable,not_recommended,none,2025-05-07,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 1400.00 IDR.
request_204,588.74,affordable_now,full_payment,2026-01-04:588.74,2026-01-04,none,The requested payment of 588.74 IDR is fully safe to pay immediately since the projected daily balance stays safely above the required minimum balance of 1300.00 IDR throughout the 90-day forecast.
request_205,10621000.0,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,The requested payment of 10621000.00 IDR is fully safe to pay immediately since the projected daily balance stays safely above the required minimum balance of 13994300.00 IDR throughout the 90-day forecast.
request_206,1404.7,not_affordable,not_recommended,none,2025-08-03,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 900.00 IDR.
request_207,6969.75,affordable_later,wait,2026-07-15:11830,2026-07-15,none,Paying the full requested amount of 11830.00 IDR today is not safe. It is highly recommended to wait until 2026-07-15 when incoming cash flows restore the balance safely above the required minimum of 13600.00 IDR.
request_208,3040801.67,affordable_later,wait,2024-06-15:4413000,2024-06-15,none,Paying the full requested amount of 4413000.00 IDR today is not safe. It is highly recommended to wait until 2024-06-15 when incoming cash flows restore the balance safely above the required minimum of 10470700.00 IDR.
request_209,1660.18,not_affordable,not_recommended,none,,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 18400.00 IDR.
request_210,1147.09,not_affordable,not_recommended,none,2026-04-15,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 2000.00 IDR.
request_211,413.66,affordable_later,wait,2024-09-15:1788.60,2024-09-15,none,Paying the full requested amount of 1788.60 IDR today is not safe. It is highly recommended to wait until 2024-09-15 when incoming cash flows restore the balance safely above the required minimum of 1500.00 IDR.
request_212,7859754.86,not_affordable,not_recommended,none,,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 29579800.00 IDR.
request_213,3362.4,not_affordable,not_recommended,none,2026-01-07,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 2100.00 IDR.
request_214,0.0,not_affordable,not_recommended,none,,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 174900.00 IDR.
request_215,29986.0,not_affordable,not_recommended,none,2025-05-06,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 15700.00 IDR.
request_216,483.08,affordable_later,wait,2026-07-15:3332.40,2026-07-15,none,Paying the full requested amount of 3332.40 IDR today is not safe. It is highly recommended to wait until 2026-07-15 when incoming cash flows restore the balance safely above the required minimum of 1800.00 IDR.
request_217,19583.38,not_affordable,not_recommended,none,2024-05-15,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 26800.00 IDR.
request_218,25992300.5,not_affordable,not_recommended,none,2025-09-15,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 34477200.00 IDR.
request_219,1361.27,not_affordable,not_recommended,none,2026-04-15,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 1100.00 IDR.
request_220,72.34,not_affordable,not_recommended,none,2024-07-15,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 1100.00 IDR.
request_221,109800.0,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,The requested payment of 109800.00 IDR is fully safe to pay immediately since the projected daily balance stays safely above the required minimum balance of 81500.00 IDR throughout the 90-day forecast.
request_222,34078.0,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,The requested payment of 34078.00 IDR is fully safe to pay immediately since the projected daily balance stays safely above the required minimum balance of 27300.00 IDR throughout the 90-day forecast.
request_223,898.7,affordable_now,full_payment,2024-09-07:898.70,2024-09-07,none,The requested payment of 898.70 IDR is fully safe to pay immediately since the projected daily balance stays safely above the required minimum balance of 800.00 IDR throughout the 90-day forecast.
request_224,10327000.0,not_affordable,not_recommended,none,2025-02-04,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 22187600.00 IDR.
request_225,10884554.37,not_affordable,not_recommended,none,2026-09-15,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 17670700.00 IDR.
request_226,157000.0,affordable_now,full_payment,2024-12-03:157000,2024-12-03,none,The requested payment of 157000.00 IDR is fully safe to pay immediately since the projected daily balance stays safely above the required minimum balance of 209400.00 IDR throughout the 90-day forecast.
request_227,17817.08,not_affordable,not_recommended,none,,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 62900.00 IDR.
request_228,4587960.75,not_affordable,not_recommended,none,,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 26191200.00 IDR.
request_229,620.66,not_affordable,not_recommended,none,2024-05-15,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 1000.00 IDR.
request_230,3537.6,affordable_now,full_payment,2025-08-06:3537.60,2025-08-06,none,The requested payment of 3537.60 IDR is fully safe to pay immediately since the projected daily balance stays safely above the required minimum balance of 2000.00 IDR throughout the 90-day forecast.
request_231,30522.89,not_affordable,not_recommended,none,2026-03-15,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 24300.00 IDR.
request_232,848.37,affordable_later,wait,2024-06-15:1970.10,2024-06-15,none,Paying the full requested amount of 1970.10 IDR today is not safe. It is highly recommended to wait until 2024-06-15 when incoming cash flows restore the balance safely above the required minimum of 2400.00 IDR.
request_233,0.0,not_affordable,not_recommended,none,,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 10365700.00 IDR.
request_234,269.18,affordable_later,wait,2026-09-15:1213.30,2026-09-15,none,Paying the full requested amount of 1213.30 IDR today is not safe. It is highly recommended to wait until 2026-09-15 when incoming cash flows restore the balance safely above the required minimum of 700.00 IDR.
request_235,967.2,affordable_now,full_payment,2024-09-06:967.20,2024-09-06,none,The requested payment of 967.20 IDR is fully safe to pay immediately since the projected daily balance stays safely above the required minimum balance of 700.00 IDR throughout the 90-day forecast.
request_236,5830002.66,not_affordable,not_recommended,none,,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 16768600.00 IDR.
request_237,23826000.0,affordable_now,full_payment,2026-04-05:23826000,2026-04-05,none,The requested payment of 23826000.00 IDR is fully safe to pay immediately since the projected daily balance stays safely above the required minimum balance of 22431500.00 IDR throughout the 90-day forecast.
request_238,663.6,not_affordable,not_recommended,none,2024-12-07,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 700.00 IDR.
request_239,642.0,affordable_now,full_payment,2025-05-04:642,2025-05-04,none,The requested payment of 642.00 IDR is fully safe to pay immediately since the projected daily balance stays safely above the required minimum balance of 600.00 IDR throughout the 90-day forecast.
request_240,13746.66,not_affordable,not_recommended,none,2026-03-15,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 52800.00 IDR.
request_241,21052000.0,not_affordable,not_recommended,none,2024-03-03,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 19252000.00 IDR.
request_242,0.0,not_affordable,not_recommended,none,,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 600.00 IDR.
request_243,17468.0,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,The requested payment of 17468.00 IDR is fully safe to pay immediately since the projected daily balance stays safely above the required minimum balance of 19900.00 IDR throughout the 90-day forecast.
request_244,49918.0,affordable_now,full_payment,2024-06-04:49918,2024-06-04,none,The requested payment of 49918.00 IDR is fully safe to pay immediately since the projected daily balance stays safely above the required minimum balance of 45900.00 IDR throughout the 90-day forecast.
request_245,0.0,not_affordable,not_recommended,none,,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 94600.00 IDR.
request_246,64086.0,not_affordable,not_recommended,none,2026-04-03,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 39300.00 IDR.
request_247,1059.3,affordable_now,full_payment,2024-09-05:1059.30,2024-09-05,none,The requested payment of 1059.30 IDR is fully safe to pay immediately since the projected daily balance stays safely above the required minimum balance of 1300.00 IDR throughout the 90-day forecast.
request_248,937.87,not_affordable,not_recommended,none,2025-04-15,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 1300.00 IDR.
request_249,161.39,affordable_later,wait,2026-03-15:643.20,2026-03-15,none,Paying the full requested amount of 643.20 IDR today is not safe. It is highly recommended to wait until 2026-03-15 when incoming cash flows restore the balance safely above the required minimum of 600.00 IDR.
request_250,15440.17,not_affordable,not_recommended,none,2025-02-15,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 35300.00 IDR.
request_251,765.62,not_affordable,not_recommended,none,,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 1300.00 IDR.
request_252,4909320.51,affordable_later,wait,2026-09-15:28082000,2026-09-15,none,Paying the full requested amount of 28082000.00 IDR today is not safe. It is highly recommended to wait until 2026-09-15 when incoming cash flows restore the balance safely above the required minimum of 15152200.00 IDR.
request_253,1562.83,not_affordable,not_recommended,none,2024-05-15,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 2300.00 IDR.
request_254,778.21,affordable_later,wait,2025-10-15:3535.20,2025-10-15,none,Paying the full requested amount of 3535.20 IDR today is not safe. It is highly recommended to wait until 2025-10-15 when incoming cash flows restore the balance safely above the required minimum of 2500.00 IDR.
request_255,3345000.0,affordable_now,full_payment,2026-04-06:3345000,2026-04-06,none,The requested payment of 3345000.00 IDR is fully safe to pay immediately since the projected daily balance stays safely above the required minimum balance of 9813900.00 IDR throughout the 90-day forecast.
request_256,152799.21,not_affordable,not_recommended,none,2024-06-15,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 168600.00 IDR.
request_257,613.81,affordable_later,wait,2025-12-15:1352.40,2025-12-15,none,Paying the full requested amount of 1352.40 IDR today is not safe. It is highly recommended to wait until 2025-12-15 when incoming cash flows restore the balance safely above the required minimum of 1600.00 IDR.
request_258,1113.6,affordable_now,full_payment,2026-01-07:1113.60,2026-01-07,none,The requested payment of 1113.60 IDR is fully safe to pay immediately since the projected daily balance stays safely above the required minimum balance of 500.00 IDR throughout the 90-day forecast.
request_259,535.91,affordable_later,wait,2024-10-15:935,2024-10-15,none,Paying the full requested amount of 935.00 IDR today is not safe. It is highly recommended to wait until 2024-10-15 when incoming cash flows restore the balance safely above the required minimum of 600.00 IDR.
request_260,0.0,not_affordable,not_recommended,none,,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 20727700.00 IDR.
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.40,2026-07-03,none,The requested payment of 1830.40 IDR is fully safe to pay immediately since the projected daily balance stays safely above the required minimum balance of 1500.00 IDR throughout the 90-day forecast.
request_262,9236000.0,affordable_now,full_payment,2024-12-05:9236000,2024-12-05,none,The requested payment of 9236000.00 IDR is fully safe to pay immediately since the projected daily balance stays safely above the required minimum balance of 31018500.00 IDR throughout the 90-day forecast.
request_263,0.0,not_affordable,not_recommended,none,,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 24100.00 IDR.
request_264,34122.41,affordable_later,wait,2026-05-15:111300,2026-05-15,none,Paying the full requested amount of 111300.00 IDR today is not safe. It is highly recommended to wait until 2026-05-15 when incoming cash flows restore the balance safely above the required minimum of 59500.00 IDR.
request_265,45970.0,affordable_now,full_payment,2024-03-06:45970,2024-03-06,none,The requested payment of 45970.00 IDR is fully safe to pay immediately since the projected daily balance stays safely above the required minimum balance of 189700.00 IDR throughout the 90-day forecast.
request_266,935.0,not_affordable,not_recommended,none,2025-08-03,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 900.00 IDR.
request_267,1641.71,not_affordable,not_recommended,none,2026-02-15,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 1500.00 IDR.
request_268,1041.49,not_affordable,not_recommended,none,2024-07-15,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 1400.00 IDR.
request_269,0.0,not_affordable,not_recommended,none,,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 23100.00 IDR.
request_270,96.77,not_affordable,not_recommended,none,2026-09-15,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 1400.00 IDR.
request_271,21514.33,affordable_later,wait,2024-11-15:91300,2024-11-15,none,Paying the full requested amount of 91300.00 IDR today is not safe. It is highly recommended to wait until 2024-11-15 when incoming cash flows restore the balance safely above the required minimum of 58200.00 IDR.
request_272,5989935.38,not_affordable,not_recommended,none,2025-03-15,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 7508600.00 IDR.
request_273,9628161.98,not_affordable,not_recommended,none,2026-04-15,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 18774600.00 IDR.
request_274,2295.46,not_affordable,not_recommended,none,2024-12-15,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 1800.00 IDR.
request_275,15884000.0,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,The requested payment of 15884000.00 IDR is fully safe to pay immediately since the projected daily balance stays safely above the required minimum balance of 12760100.00 IDR throughout the 90-day forecast.
